model,expr,regime,vol_target,multiplicity,n_months,mean_ann_pct,sharpe,t,p,by_pass,aux_tested,aux_pass,full_survivor,alpha6_t
gpt-4-0613,+0.5*MRreversal + -0.5*SP,VIX_ABOVE_TRAILING_MEDIAN,false,1,32,-3.701,-0.464,-0.758,0.77278,false,2,1,false,0.484
gpt-4-0613,+0.5*AssetGrowth + +0.5*EarningsSurprise,MKT_TRAILING_12M_UP,true,1,32,-0.418,-0.052,-0.085,0.5334,false,2,0,false,-0.26
gpt-4-0613,+0.5*BM + +0.5*ChAssetTurnover,MKT_TRAILING_12M_DOWN,true,1,32,2.874,0.377,0.616,0.27118,false,1,1,false,1.022
gpt-4-0613,-0.5*DebtIssuance + +1*PayoutYield,TERM_SPREAD_POSITIVE,true,1,32,0.996,0.292,0.476,0.3187,false,2,2,false,0.392
gpt-4-0613,+0.5*STreversal + +0.5*VolumeTrend,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,4.229,0.461,0.753,0.22861,false,2,2,false,1.268
gpt-4-0613,+0.5*NetPayoutYield + +0.5*SP,MKT_TRAILING_12M_UP,true,1,32,6.924,1.143,1.867,0.03568,false,2,1,false,1.084
gpt-4-0613,-0.5*BidAskSpread + +0.5*EarningsConsistency,MKT_TRAILING_12M_DOWN,true,1,32,11.252,0.775,1.266,0.10753,false,1,1,false,1.083
gpt-4-0613,+1*BookLeverage + -0.5*Cash,TERM_SPREAD_NEGATIVE,true,1,32,-14.558,-0.782,-1.277,0.89447,false,2,1,false,-1.347
gpt-4-0613,+1*AssetGrowth + -0.5*Illiquidity,MKT_TRAILING_12M_UP,false,1,32,-4.076,-0.455,-0.743,0.76835,false,1,0,false,-0.719
gpt-4-0613,-0.5*Leverage + +1*Mom12m,MKT_TRAILING_12M_UP,true,1,32,13.251,1.038,1.695,0.05006,false,1,0,false,1.305
gpt-4-0613,+1*BM + -0.5*BidAskSpread,TERM_SPREAD_POSITIVE,true,1,32,2.028,0.516,0.843,0.20296,false,1,1,false,1.445
gpt-4-0613,-1*AssetGrowth + +0.5*BookLeverage,MKT_TRAILING_12M_DOWN,false,1,32,-5.827,-0.528,-0.863,0.80258,false,2,2,false,-2.22
gpt-4-0613,+1*AdExp + -0.5*Price,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-1.36,-0.055,-0.09,0.53574,false,2,0,false,-0.248
gpt-4-0613,+1*AnalystRevision + -0.5*ShortInterest,TERM_SPREAD_NEGATIVE,true,1,32,-12.575,-0.516,-0.842,0.79683,false,2,0,false,-1.429
gpt-4-0613,-0.5*BidAskSpread + +1*GP,TERM_SPREAD_POSITIVE,false,1,32,2.638,0.294,0.48,0.31745,false,2,0,false,-0.124
gpt-4-0613,-0.5*Illiquidity + +1*SP,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,2.693,0.507,0.829,0.20685,false,2,1,false,-0.088
gpt-4-0613,-0.5*Illiquidity + +1*Mom12m,MKT_TRAILING_12M_DOWN,true,1,32,8.651,0.432,0.706,0.24287,false,2,1,false,0.123
gpt-4-0613,+0.5*BM + +0.5*Mom12m,TERM_SPREAD_POSITIVE,false,1,32,5.619,0.578,0.944,0.1763,false,1,1,false,1.166
gpt-4-0613,+1*AssetGrowth + -0.5*Illiquidity,TERM_SPREAD_NEGATIVE,true,1,32,14.339,0.537,0.876,0.19377,false,1,0,false,1.493
gpt-4-0613,+0.5*Mom12m + +0.5*tang,MKT_TRAILING_12M_DOWN,false,1,32,5.087,0.501,0.818,0.20978,false,2,1,false,0.803
gpt-4-0613,+0.5*Mom12m + +0.5*RD,MKT_TRAILING_12M_UP,true,1,32,8.849,0.757,1.236,0.11293,false,0,0,false,1.353
gpt-4-0613,+1*AOP + -0.5*Illiquidity,MKT_TRAILING_12M_DOWN,false,1,32,0.881,0.147,0.24,0.40592,false,1,1,false,-0.667
gpt-4-0613,+0.5*AssetGrowth + +0.5*BM,TERM_SPREAD_POSITIVE,true,1,32,0.359,0.093,0.152,0.44017,false,1,1,false,1.033
gpt-4-0613,+1*AssetGrowth + -0.5*BidAskSpread,MKT_TRAILING_12M_UP,true,2,32,0.629,0.101,0.165,0.4351,false,0,0,false,-0.454
gpt-4-0613,+0.5*AnalystRevision + -1*Beta + +0.5*Size,MKT_TRAILING_12M_DOWN,true,1,32,0.074,0.009,0.015,0.49424,false,2,1,false,0.847
gpt-4-0613,-0.5*AnalystRevision + +1*RD,NONE,false,1,32,-17.463,-0.782,-1.277,0.89448,false,1,1,false,-0.145
gpt-4-0613,-1*BM + +1*Leverage,NONE,true,1,32,-0.702,-0.108,-0.177,0.56948,false,1,1,false,-0.632
gpt-4-0613,-1*AOP + +1*EarningsSurprise,NONE,true,1,32,1.726,0.224,0.366,0.35837,false,1,0,false,0.172
gpt-4-0613,-1*Price + +1*ShortInterest,VIX_ABOVE_TRAILING_MEDIAN,false,1,32,9.908,0.38,0.621,0.2695,false,2,1,false,0.471
gpt-4-0613,+1*AssetGrowth + -1*Size,NONE,true,1,32,11.26,1.013,1.654,0.05412,false,1,1,false,1.864
gpt-4-0613,+0.5*AnalystRevision + +1*GP,NONE,false,1,32,20.354,1.105,1.804,0.04044,false,1,0,false,1.373
gpt-4-0613,+0.5*AssetGrowth + +1*PayoutYield,NONE,true,1,32,-0.775,-0.118,-0.193,0.57588,false,1,1,false,-0.244
gpt-4-0613,+1*AssetGrowth + -0.5*STreversal,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,0.802,0.096,0.157,0.43794,false,3,3,false,0.738
gpt-4-0613,-1*DebtIssuance + +1*OperProf,TERM_SPREAD_POSITIVE,false,1,32,2.542,0.268,0.437,0.33261,false,2,1,false,-0.445
gpt-4-0613,+0.5*AssetGrowth + +0.5*EarningsForecastDisparity,MKT_TRAILING_12M_UP,true,1,32,-1.108,-0.179,-0.292,0.61372,false,1,0,false,-0.778
gpt-4-0613,+1*BM + +1*OperProf,NONE,false,1,32,10.965,0.514,0.839,0.204,false,2,2,false,0.875
gpt-4-0613,-1*AssetGrowth + +1*RD,NONE,true,1,32,-6.801,-0.644,-1.052,0.84958,false,1,0,false,-0.58
gpt-4-0613,+1*Leverage + -0.5*STreversal,TERM_SPREAD_NEGATIVE,false,1,32,-6.417,-0.337,-0.55,0.70696,false,2,0,false,-0.737
gpt-4-0613,+1*AssetGrowth + +1*EarningsForecastDisparity,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,1.918,0.33,0.538,0.2971,false,2,2,false,1.272
gpt-4-0613,+0.5*AssetGrowth + +1*GP,NONE,false,1,32,19.45,0.963,1.573,0.06289,false,2,2,false,1.483
gpt-4-0613,-0.5*Illiquidity + +1*roaq,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,3.359,0.482,0.787,0.21872,false,1,1,false,-0.481
gpt-4-0613,+1*Accruals + -0.5*Leverage,MKT_TRAILING_12M_UP,false,1,32,-5.796,-0.665,-1.086,0.85708,false,1,0,false,-1.656
gpt-4-0613,+1*Cash + -0.5*Illiquidity,TERM_SPREAD_POSITIVE,true,1,32,0.444,0.104,0.169,0.43332,false,1,0,false,0.567
gpt-4-0613,+1*AdExp + -0.5*Leverage,MKT_TRAILING_12M_UP,false,1,32,-7.426,-0.731,-1.194,0.8793,false,1,0,false,-1.0
gpt-4-0613,+0.5*Illiquidity + +1*Mom12m,VIX_BELOW_TRAILING_MEDIAN,false,1,32,30.436,1.47,2.401,0.01127,false,1,1,true,1.736
gpt-4-0613,-0.5*Leverage + +1*NetEquityFinance,TERM_SPREAD_POSITIVE,false,1,32,4.335,0.588,0.96,0.17219,false,1,1,false,0.392
gpt-4-0613,-0.5*Leverage + +1*SP,TERM_SPREAD_POSITIVE,false,1,32,0.854,0.13,0.212,0.41665,false,1,0,false,-0.791
gpt-4-0613,-0.5*Leverage + +1*RD,MKT_TRAILING_12M_UP,false,1,32,-12.279,-0.671,-1.096,0.85917,false,1,0,false,-0.556
gpt-4-0613,-0.5*Illiquidity + +1*Mom12m,VIX_BELOW_TRAILING_MEDIAN,true,1,32,42.6,1.479,2.415,0.01091,false,2,1,false,1.736
gpt-4-0613,+1*AssetGrowth + -1*FirmAge,NONE,false,1,32,5.812,0.305,0.499,0.31074,false,1,0,false,0.656
gpt-4-0613,+1*BM + +0.5*EarningsSurprise,TERM_SPREAD_POSITIVE,false,1,32,1.897,0.187,0.306,0.38095,false,2,1,false,0.839
gpt-4-0613,+0.5*FirmAge + -1*Size,MKT_TRAILING_12M_UP,true,1,32,12.27,1.087,1.776,0.04281,false,2,2,false,1.341
gpt-4-0613,+1*EarningsConsistency + -0.5*RealizedVol,MKT_TRAILING_12M_DOWN,false,1,32,9.193,0.964,1.574,0.06288,false,1,1,false,1.187
gpt-4-0613,-1*AssetGrowth + +1*BM,VIX_BELOW_TRAILING_MEDIAN,false,1,32,6.512,0.692,1.129,0.13372,false,2,2,false,0.925
gpt-4-0613,-0.5*Illiquidity + +1*Size,TERM_SPREAD_NEGATIVE,true,1,32,-16.252,-0.639,-1.043,0.84756,false,2,1,false,-0.301
gpt-4-0613,+1*EarningsSurprise + -1*RealizedVol,VIX_BELOW_TRAILING_MEDIAN,false,1,32,11.415,0.487,0.795,0.2164,false,2,1,false,0.647
gpt-4-0613,-0.5*LRreversal + +1*Mom6m,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,1.965,0.23,0.376,0.35464,false,2,0,false,-0.246
gpt-4-0613,-1*AssetGrowth + +0.5*STreversal,MKT_TRAILING_12M_UP,false,1,32,5.33,0.537,0.877,0.19358,false,0,0,false,0.414
gpt-4-0613,+0.5*BM + +1*RD,TERM_SPREAD_POSITIVE,true,1,32,-0.756,-0.218,-0.356,0.63774,false,2,2,false,0.678
gpt-4-0613,+1*Illiquidity + -0.5*ShortInterest,MKT_TRAILING_12M_DOWN,false,1,32,-1.293,-0.419,-0.684,0.75032,false,1,1,false,-0.032
gpt-4-0613,+1*EarningsConsistency + -0.5*Leverage,VIX_BELOW_TRAILING_MEDIAN,true,1,32,23.773,1.088,1.776,0.04276,false,2,0,false,1.261
gpt-4-0613,+0.5*MRreversal + -1*PriceDelayRsq,VIX_ABOVE_TRAILING_MEDIAN,false,1,28,4.511,0.541,0.826,0.20802,false,2,1,false,0.232
gpt-4-0613,+1*CF + +0.5*TotalAccruals,TERM_SPREAD_POSITIVE,true,1,32,1.275,0.836,1.366,0.09089,false,1,0,false,0.87
gpt-4-0613,+1*BM + -0.5*STreversal,TERM_SPREAD_NEGATIVE,false,1,32,-2.863,-0.19,-0.31,0.62065,false,2,0,false,-0.275
gpt-4-0613,+0.5*Mom12m + +0.5*STreversal + -1*betaVIX,NONE,true,1,32,7.033,0.74,1.209,0.11789,false,2,0,false,0.582
gpt-4-0613,-0.5*AssetGrowth + +1*BM,MKT_TRAILING_12M_DOWN,true,1,32,-0.187,-0.031,-0.051,0.52011,false,2,0,false,0.048
gpt-4-0613,+0.5*EarningsConsistency + -0.5*ShortInterest,MKT_TRAILING_12M_UP,true,1,32,-0.026,-0.003,-0.005,0.5018,false,1,0,false,-0.252
gpt-4-0613,+1*BookLeverage + +1*Cash,TERM_SPREAD_POSITIVE,true,1,32,-0.746,-0.185,-0.303,0.6179,false,2,0,false,0.224
gpt-4-0613,+1*EarningsSurprise + -1*Size,MKT_TRAILING_12M_UP,false,1,32,11.824,1.122,1.832,0.03828,false,1,1,false,1.159
gpt-4-0613,+1*BM + +1*RD,MKT_TRAILING_12M_UP,false,1,32,-11.434,-0.7,-1.144,0.86924,false,1,0,false,-0.577
gpt-4-0613,-1*AssetGrowth + -1*ShareIss1Y,MKT_TRAILING_12M_DOWN,true,1,32,-22.245,-0.884,-1.443,0.92044,false,1,0,false,-1.866
gpt-4-0613,-0.5*BidAskSpread + +1*EarningsSurprise,VIX_ABOVE_TRAILING_MEDIAN,true,1,32,1.323,0.213,0.347,0.36533,false,2,1,false,0.261
gpt-4-0613,+0.5*Beta + +0.5*Mom12m,NONE,true,1,32,15.874,1.178,1.923,0.03184,false,1,0,false,1.77
gpt-4-0613,+0.5*AnalystRevision + +0.5*AssetGrowth,MKT_TRAILING_12M_UP,true,1,32,-1.341,-0.151,-0.247,0.59684,false,0,0,false,-0.367
gpt-4-0613,-0.5*BM + +1*OperProf,MKT_TRAILING_12M_DOWN,true,1,32,7.798,0.676,1.104,0.1391,false,2,2,false,-0.068
gpt-4-0613,-0.5*Leverage + +1*RD,NONE,true,1,32,-5.371,-0.621,-1.014,0.84087,false,1,0,false,-0.023
gpt-4-0613,-0.5*BookLeverage + +1*RDAbility,MKT_TRAILING_12M_UP,true,1,32,0.507,0.058,0.095,0.46259,false,0,0,false,-0.682
gpt-4-0613,-0.5*Mom12m + -0.5*RealizedVol,MKT_TRAILING_12M_DOWN,true,1,32,-2.642,-0.144,-0.235,0.59212,false,2,2,false,0.083
gpt-4-0613,-0.5*Beta + +1*Cash,MKT_TRAILING_12M_DOWN,true,1,32,4.834,0.347,0.567,0.28741,false,1,1,false,1.923
gpt-4-0613,+1*AssetGrowth + -1*OperProf,MKT_TRAILING_12M_UP,true,1,32,-3.301,-0.427,-0.698,0.75472,false,2,0,false,-0.405
gpt-4-0613,+1*BM + -1*RDS,TERM_SPREAD_NEGATIVE,true,1,32,8.237,0.523,0.854,0.19989,false,2,0,false,0.493
gpt-4-0613,-1*AdExp + +1*GrSaleToGrInv,VIX_BELOW_TRAILING_MEDIAN,false,1,32,9.888,0.716,1.169,0.12564,false,1,1,false,1.222
gpt-4-0613,-1*DebtIssuance + +1*RoE,TERM_SPREAD_POSITIVE,true,1,32,0.788,0.186,0.303,0.38178,false,1,0,false,-0.722
gpt-4-0613,-1*DolVol + +1*ReturnSkew,MKT_TRAILING_12M_UP,false,1,32,8.71,0.988,1.613,0.05848,false,2,2,false,0.592
gpt-4-0613,+1*CashProd + -1*Leverage,VIX_BELOW_TRAILING_MEDIAN,true,1,32,2.527,0.14,0.229,0.41011,false,1,1,false,0.373
gpt-4-0613,-1*ShareIss1Y + +1*fgr5yrLag,MKT_TRAILING_12M_UP,false,1,32,-16.487,-1.269,-2.071,0.97664,false,1,1,false,-1.122
gpt-4-0613,-1*BookLeverage + +1*RD,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-9.716,-0.427,-0.697,0.75464,false,1,0,false,0.012
gpt-4-0613,+1*AssetGrowth + -1*EarningsSurprise,MKT_TRAILING_12M_DOWN,true,1,32,5.198,0.231,0.377,0.35421,false,2,1,false,2.468
gpt-4-0613,-1*AOP + +1*BM,MKT_TRAILING_12M_UP,true,1,32,-0.192,-0.039,-0.063,0.52507,false,0,0,false,-0.41
gpt-4-0613,-1*CF + +1*Leverage,MKT_TRAILING_12M_DOWN,true,1,32,-7.252,-0.666,-1.088,0.8575,false,2,1,false,-0.892
gpt-4-0613,+1*RD + -1*Size,MKT_TRAILING_12M_UP,true,1,32,-2.474,-0.281,-0.46,0.67549,false,0,0,false,-0.069
gpt-4-0613,-1*BookLeverage + +1*EarningsConsistency,MKT_TRAILING_12M_UP,true,1,32,8.547,1.238,2.021,0.026,false,1,0,false,1.16
gpt-4-0613,+1*ShareIss1Y + -1*fgr5yrLag,MKT_TRAILING_12M_DOWN,true,1,32,25.222,1.309,2.137,0.02031,false,1,1,true,1.179
gpt-4-0613,+1*Cash + -1*Leverage,MKT_TRAILING_12M_UP,true,1,32,-0.364,-0.047,-0.076,0.53012,false,1,0,false,0.25
gpt-4-0613,-1*BM + +1*SP,MKT_TRAILING_12M_UP,true,1,32,3.976,0.617,1.008,0.16071,false,0,0,false,0.67
gpt-4-0613,+1*AdExp + -0.5*Mom6m,TERM_SPREAD_POSITIVE,true,1,32,-3.674,-1.073,-1.753,0.95524,false,0,0,false,-1.405
gpt-4-0613,+1*AssetGrowth + -0.5*RoE,VIX_BELOW_TRAILING_MEDIAN,true,1,32,-11.939,-0.664,-1.085,0.85688,false,1,0,false,-0.805
gpt-4-0613,+1*BookLeverage + -1*Leverage,MKT_TRAILING_12M_DOWN,false,1,32,0.24,0.013,0.021,0.49173,false,1,1,false,0.766
gpt-4-0613,+1*Cash + +1*ShareRepurchase,NONE,true,1,32,9.637,0.967,1.579,0.06222,false,1,1,false,2.352
gpt-4-0613,+1*GP + -0.5*Leverage,TERM_SPREAD_NEGATIVE,false,1,32,22.325,1.13,1.845,0.03733,false,1,0,false,2.729
